Start	Message	Estimated p1	Estimated p2	PAYOFF	Simulations
1785	OK	    0.784787	     2.94293	             -196769	211434
1786	OK	     1.73873	     2.64892	            -72020.9	211518
1788	OK	     2.74746	     2.29593	           -0.638075	211813
1789	OK	     2.74633	     2.29634	           -0.527285	211995
1790	OK	     2.74795	     2.29553	           -0.619775	212291
1791	OK	     2.74866	     2.29539	           -0.173603	212467
1792	OK	    0.128032	     3.13173	             -280902	212571
1793	OK	    0.523057	     3.01914	             -231233	212659
1794	OK	      2.7455	     2.29658	           -0.378905	212963
1796	OK	    0.906341	     2.90658	             -180311	213048
1797	OK	    0.939729	     2.89708	             -176024	213142
1798	OK	     3.32934	     2.05917	            -39614.1	213234
1799	OK	     2.92062	     2.22875	            -3108.03	213322
1800	OK	   0.0446306	     3.15515	             -290915	213421
1801	OK	   0.0566206	     3.15142	             -289330	213507
1802	OK	    0.588379	     3.00028	             -222735	213607
1803	OK	     2.58501	     2.35699	            -2488.61	213692
1804	OK	     2.74723	     2.29596	           -0.142243	213983
1807	OK	     2.74853	     2.29541	           -0.130894	214170
1808	OK	     2.74726	     2.29593	          -0.0652797	214430
1809	OK	    0.837041	     2.92734	             -189702	214518
1810	OK	    0.773991	     2.94558	             -197975	214623
1811	OK	   0.0229519	     3.16102	             -293400	214711
1813	OK	     2.31571	     2.45385	            -15976.6	214801
1815	OK	     2.74883	     2.29532	           -0.221278	215043
1816	OK	      2.7464	     2.29628	            -0.28464	215334
1817	OK	     2.74752	     2.29597	            -1.41835	215625
1819	OK	    0.710579	     2.96413	             -206387	215721
1820	OK	   0.0445643	     3.15515	             -290912	215822
1821	OK	    0.825511	     2.93077	             -191258	215920
1823	OK	     3.19643	     2.12307	            -22945.2	216032
1825	OK	     2.74713	     2.29591	          -0.0527876	216216
1827	OK	     1.55242	      2.7084	            -94727.6	216305
1828	OK	     2.74637	     2.29629	           -0.305096	216577
1830	OK	     2.74719	     2.29601	           -0.424342	216781
1832	OK	           0	     3.17149	             -299220	216873
1833	OK	    0.193876	     3.11317	             -272878	216954
1835	OK	     1.39663	     2.75725	             -114710	217038
1836	OK	      2.7483	     2.29541	           -0.523071	217324
1837	OK	    0.670302	     2.97665	             -212062	217419
1838	OK	     2.74681	     2.29598	           -0.353691	217724
1839	OK	    0.308201	     3.08043	             -258545	217827
1840	OK	   0.0490136	     3.15391	             -290389	217921
1841	OK	     1.19212	     2.82056	             -141905	218031
1842	OK	   0.0970793	     3.14028	             -284569	218117
1844	OK	     2.74726	     2.29594	          -0.0895923	218383
1845	OK	   0.0138174	     3.16383	             -294592	218477
1846	OK	    0.994106	     2.88025	             -168446	218566
1848	OK	           0	     3.17118	             -298886	218636
